chr1	68046855	68051591
chr2	206251345	206273541
chr4	88697172	88698218
chr6	3848555	3849873
chr6	144007283	144008861
chr7	50782025	50783174
chr7	94656329	94657931
chr7	130490280	130493270
chr7	155071258	155071672
chr8	140098013	140100982
chr13	48318414	48321343
chr14	100726514	100726577
chr14	100824218	100828094
chr15	23647426	23649052
chr15	23686303	23687474
chr15	23897772	23897854
chr15	24772984	24773303
chr15	24823416	24823704
chr15	24846921	24848375
chr15	24856479	24856534
chr15	24878139	24878585
chr15	24954565	24956586
chr15	98865406	98866729
chr20	37519751	37521660
chr20	43513583	43514863
chr20	58838361	58845888
chr20	58850459	58856249
chr20	58888209	58890121
chr21	39385764	39386283
chr22	41681934	41682720
